time,main_car_id,main_car_x,main_car_y,main_car_z,main_car_speed(km/h),main_car_pitch,main_car_yaw,main_car_roll,vice_car_L1_1_id,vice_car_L1_1_x,vice_car_L1_1_y,vice_car_L1_1_z,vice_car_L1_1_speed(km/h),vice_car_L1_1_pitch,vice_car_L1_1_yaw,vice_car_L1_1_roll,vice_car_L1_2_id,vice_car_L1_2_x,vice_car_L1_2_y,vice_car_L1_2_z,vice_car_L1_2_speed(km/h),vice_car_L1_2_pitch,vice_car_L1_2_yaw,vice_car_L1_2_roll,vice_car_L2_1_id,vice_car_L2_1_x,vice_car_L2_1_y,vice_car_L2_1_z,vice_car_L2_1_speed(km/h),vice_car_L2_1_pitch,vice_car_L2_1_yaw,vice_car_L2_1_roll,vice_car_L3_1_id,vice_car_L3_1_x,vice_car_L3_1_y,vice_car_L3_1_z,vice_car_L3_1_speed(km/h),vice_car_L3_1_pitch,vice_car_L3_1_yaw,vice_car_L3_1_roll
1715838795.693,1886,-842.3519897460938,-291.25,0.48032262921333313,2.1199010610580444,0.0,0.0,0.0,1887,-822.3519897460938,-294.75,0.485239177942276,1.825337862968445,0.0,0.0,0.0,1888,-892.3519897460938,-294.75,0.49127623438835144,1.377846372127533,0.0,0.0,0.0,1889,-782.3519897460938,-291.25,0.4961785078048706,0.8812062442302704,0.0,0.0,0.0,1890,-822.3519897460938,-287.75,0.4988921284675598,0.4331465810537338,0.0,0.0,0.0
1715838795.716,1886,-842.3519897460938,-291.25,0.46256378293037415,2.9702370643615725,0.0,0.0,0.0,1887,-822.3519897460938,-294.75,0.4694523513317108,2.675674080848694,0.0,0.0,0.0,1888,-892.3519897460938,-294.75,0.4784855544567108,2.2281826972961425,0.0,0.0,0.0,1889,-782.3519897460938,-291.25,0.486712783575058,1.7315425157546998,0.0,0.0,0.0,1890,-822.3519897460938,-287.75,0.4924262762069702,1.283482825756073,0.0,0.0,0.0
1715838795.728,1886,-842.3519897460938,-291.25,0.45371848344802856,3.30967276096344,0.0,0.0,0.0,1887,-822.1917114257812,-294.75,0.46854522824287415,59.99693416458229,0.0,0.0,0.0,1888,-892.1917114257812,-294.75,0.47757843136787415,59.99693416458229,0.0,0.0,0.0,1889,-782.1917114257812,-291.25,0.4858056604862213,59.99693416458229,0.0,0.0,0.0,1890,-822.1917114257812,-287.75,0.49151915311813354,59.99693416458229,0.0,0.0,0.0
1715838795.739,1886,-842.3519897460938,-291.25,0.44432371854782104,3.6376848220825195,0.0,0.0,0.0,1887,-822.0368041992188,-294.75,0.46682143211364746,59.99580032202876,0.0,0.0,0.0,1888,-892.0368041992188,-294.75,0.47585463523864746,59.99580032202876,0.0,0.0,0.0,1889,-782.0368041992188,-291.25,0.48408186435699463,59.99580032202876,0.0,0.0,0.0,1890,-822.0368041992188,-287.75,0.48979535698890686,59.99580032202876,0.0,0.0,0.0
1715838795.751,1886,-842.3519897460938,-291.25,0.4275999367237091,4.164390420913697,0.0,0.0,0.0,1887,-821.7880249023438,-294.75,0.46241530776023865,59.9977309343695,0.0,0.0,0.0,1888,-891.7880249023438,-294.75,0.47144851088523865,59.9977309343695,0.0,0.0,0.0,1889,-781.7880249023438,-291.25,0.4796757400035858,59.9977309343695,0.0,0.0,0.0,1890,-821.7880249023438,-287.75,0.48538923263549805,59.9977309343695,0.0,0.0,0.0
1715838795.762,1886,-842.3519897460938,-291.25,0.4151701331138611,4.520626401901246,0.0,0.0,0.0,1887,-821.6197509765625,-294.75,0.45831647515296936,60.001663647602804,0.0,0.0,0.0,1888,-891.6197509765625,-294.75,0.46734967827796936,60.001663647602804,0.0,0.0,0.0,1889,-781.6197509765625,-291.25,0.4755769371986389,60.001663647602804,0.0,0.0,0.0,1890,-821.6197509765625,-287.75,0.48129042983055115,60.001663647602804,0.0,0.0,0.0
1715838795.774,1886,-842.3519897460938,-291.25,0.40166983008384705,4.8786553859710695,0.0,0.0,0.0,1887,-821.45068359375,-294.75,0.45318907499313354,60.00774075444699,0.0,0.0,0.0,1888,-891.45068359375,-294.75,0.46222227811813354,60.00774075444699,0.0,0.0,0.0,1889,-781.45068359375,-291.25,0.4704495072364807,60.00774075444699,0.0,0.0,0.0,1890,-821.45068359375,-287.75,0.47616299986839294,60.00774075444699,0.0,0.0,0.0
1715838795.786,1886,-842.3519897460938,-291.25,0.38717880845069885,5.23052773475647,0.0,0.0,0.0,1887,-821.2844848632812,-294.75,0.446927011013031,60.01579672466836,0.0,0.0,0.0,1888,-891.2844848632812,-294.75,0.455960214138031,60.01579672466836,0.0,0.0,0.0,1889,-781.2844848632812,-291.25,0.46418747305870056,60.01579672466836,0.0,0.0,0.0,1890,-821.2844848632812,-287.75,0.4699009656906128,60.01579672466836,0.0,0.0,0.0
1715838795.797,1886,-842.3519897460938,-291.25,0.37153899669647217,5.591600704193115,0.0,0.0,0.0,1887,-821.114013671875,-294.75,0.43973127007484436,60.02621280525616,0.0,0.0,0.0,1888,-891.114013671875,-294.75,0.44876447319984436,60.02621280525616,0.0,0.0,0.0,1889,-781.1140747070312,-291.25,0.4569917321205139,60.02621280525616,0.0,0.0,0.0,1890,-821.114013671875,-287.75,0.46270522475242615,60.02621280525616,0.0,0.0,0.0
1715838795.81,1886,-842.3519897460938,-291.25,0.35389381647109985,5.9728936672210695,0.0,0.0,0.0,1887,-820.9340209960938,-294.75,0.4310031831264496,60.03955982223603,0.0,0.0,0.0,1888,-890.9340209960938,-294.75,0.4400363862514496,60.03955982223603,0.0,0.0,0.0,1889,-780.9340209960938,-291.25,0.44826361536979675,60.03955982223603,0.0,0.0,0.0,1890,-820.9340209960938,-287.75,0.453977108001709,60.03955982223603,0.0,0.0,0.0
