ScreenPoint_x,ScreenPoint_y,Status,StorageTime
-1,-1,Start,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
-1,-1,Fixation,1.72e+16
