ID,StorageTime,fvo|FrameNumber,fvo|TimeStamp,fvo|UserTimeStamp,fvo|FrameRate,fvo|HeadPosition_x,fvo|HeadPosition_y,fvo|HeadPosition_z,fvo|HeadHeading,fvo|HeadPitch,fvo|HeadRoll,fvo|GazeOrigin_x,fvo|GazeOrigin_y,fvo|GazeOrigin_z,fvo|EyePosition_x,fvo|EyePosition_y,fvo|EyePosition_z,fvo|GazeDirection_x,fvo|GazeDirection_y,fvo|GazeDirection_z,fvo|GazeDirectionQ,fvo|ClosestWorldIntersection_worldPoint_x,fvo|ClosestWorldIntersection_worldPoint_y,fvo|ClosestWorldIntersection_worldPoint_z,fvo|ClosestWorldIntersection_objectPoint_x,fvo|ClosestWorldIntersection_objectPoint_y,fvo|ClosestWorldIntersection_objectPoint_z,fvo|ClosestWorldIntersection_objectName,fvo|LeftEyelidOpening,fvo|RightEyelidOpening,fvo|LeftPupilDiameter,fvo|RightPupilDiameter,fvo|EstimatedGazeOrigin_x,fvo|EstimatedGazeOrigin_y,fvo|EstimatedGazeOrigin_z,fvo|EstimatedEyePosition_x,fvo|EstimatedEyePosition_y,fvo|EstimatedEyePosition_z,fvo|EstimatedGazeDirection_x,fvo|EstimatedGazeDirection_y,fvo|EstimatedGazeDirection_z,fvo|EstimatedGazeDirectionQ,fvo|ScreenPoint2D_x,fvo|ScreenPoint2D_y
126946,1.72E+16,215726,35951298384,0,60.00510043,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126947,1.72E+16,215727,35951463002,0,60.0350805,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126948,1.72E+16,215728,35951630764,0,60.01482366,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126949,1.72E+16,215729,35951797351,0,60.02122751,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126950,1.72E+16,215730,35951963666,0,60.03496036,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126951,1.72E+16,215731,35952130105,0,60.04006674,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126952,1.72E+16,215732,35952298219,0,60.01262265,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126953,1.72E+16,215733,35952464063,0,60.02062709,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126954,1.72E+16,215734,35952631016,0,60.01412332,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126955,1.72E+16,215735,35952796395,0,60.02949449,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
